order_id,order_date,customer_id,customer_name,email,phone,prefecture,age,gender,product_id,product_name,category,price,quantity,total_amount,payment_method,status
O000001,17-01-2026,C00001,山田 太郎,山田太郎95@docomo.ne.jp,090-5012-4657,福岡県,53.0,F,P0011,お米,食品,7023,22.0,172471.0,代金引換,delivered
O000002,2026-01-23,C00002,山崎 美月,山崎美月29@softbank.ne.jp,090-5557-1106,兵庫県,72.0,その他,P0045,ジーンズ（お徳用）,ファッション,12522,5.0,62610.0,credit card,delivered
O000003,2026-01-14,C00002,山崎 美月,山崎美月29@softbank.ne.jp,090-5557-1106,兵庫県,72.0,その他,P0015,パスタ,食品,11600,488.0,4419950.0,クレジットカード,delivered
O000004,2023-01-02,C00003,池田 大輔,池田大輔6@softbank.ne.jp,070 2291 5803,埼玉県,72.0,F,P0045,ジーンズ（お徳用）,ファッション,12522,4.0,100176.0,PayPay,shipped
O000005,2023-01-13,C00003,池田 大輔,池田大輔6@softbank.ne.jp,070 2291 5803,埼玉県,72.0,F,P0013,パスタ（お徳用）,食品,11639,7.0,81473.0,銀行振込,delivered
O000006,2023-02-01,C00003,池田 大輔,池田大輔6@softbank.ne.jp,070 2291 5803,埼玉県,72.0,F,P0028,【セール】コーヒー,食品,10527,4.0,73689.0,PayPay,cancelled
O000007,2023-01-26,C00003,池田 大輔,池田大輔6@softbank.ne.jp,070 2291 5803,埼玉県,72.0,F,P0027,コーヒー（お徳用）,食品,10429,6.0,52145.0,PayPay,delivered
O000008,,C00003,池田 大輔,池田大輔6@softbank.ne.jp,070 2291 5803,埼玉県,72.0,F,P0021,インスタント麺,食品,13736,7.0,41208.0,クレジットカード,delivered
O000009,2023-03-03,C00003,池田 大輔,池田大輔6@softbank.ne.jp,070 2291 5803,埼玉県,72.0,F,P0001,洗剤,日用品,7372,7.0,36860.0,クレジットカード,cancelled
O000010,2023-02-01,C00003,池田 大輔,池田大輔6@softbank.ne.jp,070 2291 5803,埼玉県,72.0,F,P0010,【セール】お米,食品,6809,8.0,20427.0,銀行振込,delivered
O000011,2023-02-27,C00003,池田 大輔,池田大輔6@softbank.ne.jp,070 2291 5803,埼玉県,72.0,F,P0050,財布,ファッション,12631,3.0,25262.0,PayPay,shipped
O000012,2023-04-08,C00003,池田 大輔,池田大輔6@softbank.ne.jp,070 2291 5803,埼玉県,72.0,F,P0014,【セール】パスタ,食品,11392,2.0,79744.0,代金引換,delivered
O000013,2023-05-17,C00003,池田 大輔,池田大輔6@softbank.ne.jp,070 2291 5803,埼玉県,72.0,F,P0031,加湿器,家電,11743,2.0,35229.0,銀行振込,delivered
O000014,2023-04-02,C00003,池田 大輔,池田大輔6@softbank.ne.jp,070 2291 5803,埼玉県,72.0,F,P0051,帽子,ファッション,11404,8.0,68424.0,コンビニ払い,delivered
O000015,2023-03-09,C00003,池田 大輔,池田大輔6@softbank.ne.jp,070 2291 5803,埼玉県,72.0,F,P0050,財布,ファッション,12631,7.0,101048.0,銀行振込,delivered
O000016,2023/03/15,C00003,池田 大輔,池田大輔6@softbank.ne.jp,070 2291 5803,埼玉県,72.0,F,P0035,【セール】電子レンジ,家電,11788,4.0,94304.0,銀行振込,delivered
O000017,2023-05-25,C00003,池田 大輔,池田大輔6@softbank.ne.jp,070 2291 5803,埼玉県,72.0,F,P0045,ジーンズ（お徳用）,ファッション,12522,6.0,62610.0,コンビニ払い,delivered
O000018,2023-07-03,C00003,池田 大輔,池田大輔6@softbank.ne.jp,070 2291 5803,埼玉県,72.0,F,P0012,パスタ,食品,11541,8.0,69246.0,クレジットカード,delivered
O000019,2023-05-17,C00003,池田 大輔,池田大輔6@softbank.ne.jp,070 2291 5803,埼玉県,72.0,F,P0019,調味料セット,食品,13834,2.0,41502.0,銀行振込,shipped
O000020,2023-04-08,C00003,池田 大輔,池田大輔6@softbank.ne.jp,070 2291 5803,埼玉県,72.0,F,P0021,インスタント麺,食品,13736,5.0,96152.0,クレジットカード,delivered
O000021,2023-09-14,C00003,池田 大輔,池田大輔6@softbank.ne.jp,070 2291 5803,埼玉県,72.0,F,P0027,コーヒー（お徳用）,食品,10429,3.0,31287.0,クレジットカード,delivered
O000022,2023-04-02,C00003,池田 大輔,池田大輔6@softbank.ne.jp,070 2291 5803,埼玉県,72.0,F,P0007,柔軟剤,日用品,11018,6.0,77126.0,銀行振込,shipped
O000023,2023-04-07,C00003,池田 大輔,池田大輔6@softbank.ne.jp,070 2291 5803,埼玉県,72.0,F,P0005,歯磨き粉,日用品,3124,2.0,24992.0,コンビニ払い,delivered
O000024,2023-08-10,C00003,池田 大輔,池田大輔6@softbank.ne.jp,070 2291 5803,埼玉県,72.0,F,P0048,スニーカー,ファッション,3359,6.0,13436.0,クレジットカード,delivered
